,account_name,inv_horizon,inv_obj_least_imp,inv_obj_most_imp,inv_obj_some_imp,inv_obj_very_imp,investment_amt,liquidity_need,model_id,model_name,primary_fin_need,risk_profile,risk_tolerance,volatility
0,Jane Wells,2 to 5 Years,0,3,0,2,632860,Over 20 Years,1,Capital Appreciation Strategy 1,Current Income,4,1,19.99
1,Madison Ryan,Less than 2 Years,0,1,2,4,251418,Lump Sum,2,Income Strategy 2,Health Care/Long Term Care,2,0,23.25
2,Eric Smith,2 to 5 Years,0,3,1,2,223181,Over 20 Years,3,Capital Appreciation Strategy 3,Health Care/Long Term Care,4,1,23.150000000000002
3,Travis Smith,Immediate,1,3,2,4,459374,6 to 10 Years,4,Capital Appreciation Strategy 4,Retirement,6,2,17.78
4,Michelle Williams,Immediate,0,3,1,0,430662,2 to 5 Years,5,Capital Appreciation Strategy 5,Charitable,4,1,21.83
5,Barbara Garcia,11 to 20 Years,4,1,2,3,217296,Over 20 Years,6,Income Strategy 6,Major Purchase/Expense,2,1,31.240000000000002
6,Matthew Smith,Less than 2 Years,0,3,4,2,445465,Over 20 Years,7,Capital Appreciation Strategy 7,Retirement,4,1,19.97
7,James Reyes,Less than 2 Years,0,3,4,2,788459,Lump Sum,8,Capital Appreciation Strategy 8,Charitable,4,1,46.12
8,Alexander Sanders,Immediate,0,1,3,0,531742,11 to 20 Years,9,Income Strategy 9,Current Income,1,0,22.81
9,Rose Thomas,Less than 2 Years,0,1,0,2,145837,2 to 5 Years,10,Income Strategy 10,Education Planning,1,0,26.55
10,Nicholas Smith,Immediate,4,2,1,0,455624,Over 20 Years,11,Aggressive Income Strategy 11,Health Care/Long Term Care,3,1,20.11
11,Terry Johnson,Immediate,0,4,3,1,876714,11 to 20 Years,12,Speculation Strategy 12,Wealth Accumulation/Investment,5,1,26.88
12,Melissa Davis,6 to 10 Years,0,2,3,1,816267,2 to 5 Years,13,Aggressive Income Strategy 13,Charitable,3,1,20.150000000000002
13,John Stewart,6 to 10 Years,0,4,0,3,137272,Lump Sum,14,Speculation Strategy 14,Major Purchase/Expense,6,1,28.01
14,Jasmine Baker,Less than 2 Years,0,2,0,4,322235,Over 20 Years,15,Aggressive Income Strategy 15,Education Planning,4,1,22.68
15,John Stevens,Over 20 Years,0,3,4,2,221947,6 to 10 Years,16,Capital Appreciation Strategy 16,Retirement,4,1,25.130000000000003
16,James Davis,2 to 5 Years,0,3,0,2,376137,6 to 10 Years,17,Capital Appreciation Strategy 17,Charitable,5,2,24.88
17,Steven Massey,Less than 2 Years,2,3,1,0,414019,Less than 2 Years,18,Capital Appreciation Strategy 18,Wealth Accumulation/Investment,4,1,14.099999999999998
18,George Nguyen,2 to 5 Years,2,4,1,0,597807,6 to 10 Years,19,Speculation Strategy 19,Retirement,6,2,27.04
19,April Wright,6 to 10 Years,3,4,0,2,858828,2 to 5 Years,20,Speculation Strategy 20,Wealth Accumulation/Investment,6,1,28.92
20,Brandy Hernandez,2 to 5 Years,1,4,0,3,512134,11 to 20 Years,21,Speculation Strategy 21,Charitable,6,1,15.07
21,Daniel Spencer,Less than 2 Years,0,1,0,4,745791,Less than 2 Years,22,Income Strategy 22,Estate/Legacy Planning,2,0,13.94
22,Ashlee Brooks,11 to 20 Years,3,1,4,2,976593,Less than 2 Years,23,Income Strategy 23,Education Planning,1,0,17.549999999999997
23,Robin Lopez,6 to 10 Years,0,2,4,1,883306,Less than 2 Years,24,Aggressive Income Strategy 24,Charitable,4,2,26.43
24,Cheryl Cohen,6 to 10 Years,0,4,2,3,782553,6 to 10 Years,25,Speculation Strategy 25,Major Purchase/Expense,6,1,30.85
25,Anne Lynn,2 to 5 Years,0,2,1,0,229074,11 to 20 Years,26,Aggressive Income Strategy 26,Wealth Accumulation/Investment,3,1,15.52
26,Matthew Bentley,Over 20 Years,0,1,2,3,723595,2 to 5 Years,27,Income Strategy 27,Education Planning,2,0,24.46
27,Steven Lopez,11 to 20 Years,2,1,3,0,220033,Less than 2 Years,28,Income Strategy 28,Charitable,1,1,31.7
28,Molly Evans,Immediate,0,3,0,4,141212,Lump Sum,29,Capital Appreciation Strategy 29,Health Care/Long Term Care,5,1,22.61
29,Shannon Brown,Over 20 Years,0,3,0,4,165117,11 to 20 Years,30,Capital Appreciation Strategy 30,Charitable,5,1,19.439999999999998
30,Susan Allen,Immediate,0,2,4,1,606295,6 to 10 Years,31,Aggressive Income Strategy 31,Retirement,4,2,19.38
31,Ryan Johnston,Over 20 Years,0,2,3,1,163816,6 to 10 Years,32,Aggressive Income Strategy 32,Estate/Legacy Planning,3,1,16.41
32,Joshua Shields,Immediate,0,3,0,1,693829,6 to 10 Years,33,Capital Appreciation Strategy 33,Major Purchase/Expense,4,1,23.830000000000002
33,Kayla Carter,Over 20 Years,0,3,4,2,41950,Lump Sum,34,Capital Appreciation Strategy 34,Retirement,4,1,18.099999999999998
34,Diana Harris,Over 20 Years,0,4,2,0,383460,2 to 5 Years,35,Speculation Strategy 35,Retirement,5,1,24.099999999999998
35,Melissa Yoder,Over 20 Years,1,2,3,0,221303,Less than 2 Years,36,Aggressive Income Strategy 36,Major Purchase/Expense,3,1,16.18
36,Suzanne Carter,11 to 20 Years,0,1,3,2,291581,6 to 10 Years,37,Income Strategy 37,Current Income,1,0,269.52
37,Scott Johnson,Over 20 Years,1,4,0,2,214566,Less than 2 Years,38,Speculation Strategy 38,Charitable,6,2,17.919999999999998
38,Jonathan Wilson,2 to 5 Years,0,1,3,4,888968,2 to 5 Years,39,Income Strategy 39,Estate/Legacy Planning,2,0,22.08
39,Danny Kent,Over 20 Years,0,4,1,0,31856,Lump Sum,40,Speculation Strategy 40,Estate/Legacy Planning,5,1,16.13
40,Christine Nichols,2 to 5 Years,0,3,0,1,254685,11 to 20 Years,41,Capital Appreciation Strategy 41,Charitable,4,1,21.740000000000002
41,William Cook,Immediate,0,2,0,4,887047,Over 20 Years,42,Aggressive Income Strategy 42,Wealth Accumulation/Investment,4,2,19.49
42,Phillip Martinez,Immediate,3,4,0,2,696841,Lump Sum,43,Speculation Strategy 43,Major Purchase/Expense,6,1,16.8
43,Anthony Bowen,Immediate,1,3,4,0,884334,11 to 20 Years,44,Capital Appreciation Strategy 44,Wealth Accumulation/Investment,5,2,24.93
44,Alejandra Peterson,11 to 20 Years,0,1,0,3,302746,6 to 10 Years,45,Income Strategy 45,Estate/Legacy Planning,2,1,22.98
45,Monica Whitaker,2 to 5 Years,2,3,1,0,226834,Lump Sum,46,Capital Appreciation Strategy 46,Current Income,5,2,25.47
46,Jennifer Rubio,Less than 2 Years,0,4,2,0,135414,2 to 5 Years,47,Speculation Strategy 47,Education Planning,6,2,21.85
47,Emily Young,Less than 2 Years,0,3,1,0,742926,6 to 10 Years,48,Capital Appreciation Strategy 48,Major Purchase/Expense,4,1,19.13
48,Marie Boyd,Less than 2 Years,3,4,1,2,692890,11 to 20 Years,49,Speculation Strategy 49,Estate/Legacy Planning,6,1,51.580000000000005
49,James Williamson,Immediate,1,2,0,4,635997,11 to 20 Years,50,Aggressive Income Strategy 50,Estate/Legacy Planning,4,2,49.75
50,David Foster,Immediate,3,4,0,1,165700,6 to 10 Years,51,Speculation Strategy 51,Wealth Accumulation/Investment,5,1,23.3
51,Desiree Nolan,Over 20 Years,0,3,4,2,365936,Over 20 Years,52,Capital Appreciation Strategy 52,Wealth Accumulation/Investment,4,1,25.919999999999998
52,Juan Odom,11 to 20 Years,2,3,0,0,961409,2 to 5 Years,53,Capital Appreciation Strategy 53,Major Purchase/Expense,4,1,23.03
53,Dr. Jessica Kirk DDS,2 to 5 Years,0,1,2,4,321011,11 to 20 Years,54,Income Strategy 54,Estate/Legacy Planning,2,1,25.759999999999998
54,Jill Reyes,6 to 10 Years,0,4,1,3,918423,Less than 2 Years,55,Speculation Strategy 55,Estate/Legacy Planning,6,1,24.709999999999997
55,Victoria Weeks,Over 20 Years,0,3,4,2,267805,Lump Sum,56,Capital Appreciation Strategy 56,Estate/Legacy Planning,5,2,24.29
56,Brian Benjamin,6 to 10 Years,0,3,0,1,769861,Less than 2 Years,57,Capital Appreciation Strategy 57,Retirement,5,2,16.29
57,Sue Schultz,Over 20 Years,1,4,2,3,372452,11 to 20 Years,58,Speculation Strategy 58,Education Planning,6,1,20.119999999999997
58,Christopher Hensley,Over 20 Years,0,4,2,1,643551,2 to 5 Years,59,Speculation Strategy 59,Education Planning,5,1,81.07
59,Sharon Hernandez,Immediate,0,3,0,4,541411,Less than 2 Years,60,Capital Appreciation Strategy 60,Health Care/Long Term Care,5,1,19.009999999999998
60,Mrs. Kimberly Davidson MD,6 to 10 Years,0,4,1,3,181969,2 to 5 Years,61,Speculation Strategy 61,Estate/Legacy Planning,6,1,16.78
61,Brenda Carlson,6 to 10 Years,1,2,4,3,892208,Over 20 Years,62,Aggressive Income Strategy 62,Health Care/Long Term Care,4,2,21.68
62,Jason Phillips,Immediate,4,2,3,1,939964,Over 20 Years,63,Aggressive Income Strategy 63,Retirement,4,2,15.409999999999998
63,Mrs. Melanie Wright,Less than 2 Years,0,4,3,1,480135,11 to 20 Years,64,Speculation Strategy 64,Retirement,5,1,15.299999999999999
64,Patricia Moran,Immediate,0,2,1,0,380608,2 to 5 Years,65,Aggressive Income Strategy 65,Wealth Accumulation/Investment,3,1,9.24
65,Ronald Spears,Less than 2 Years,3,4,1,2,767603,Less than 2 Years,66,Speculation Strategy 66,Health Care/Long Term Care,6,2,16.18
